OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
cisco802,1.3.6.1.4.1.9.1.213,,,objectidentity,,""
cisco803,1.3.6.1.4.1.9.1.214,,,objectidentity,,""
cisco804,1.3.6.1.4.1.9.1.215,,,objectidentity,,""
cisco1750,1.3.6.1.4.1.9.1.216,,,objectidentity,,""
catalyst2924XLv,1.3.6.1.4.1.9.1.217,,,objectidentity,,""
catalyst2924CXLv,1.3.6.1.4.1.9.1.218,,,objectidentity,,""
catalyst2912XL,1.3.6.1.4.1.9.1.219,,,objectidentity,,""
catalyst2924MXL,1.3.6.1.4.1.9.1.220,,,objectidentity,,""
catalyst2912MfXL,1.3.6.1.4.1.9.1.221,,,objectidentity,,""
cisco7206VXR,1.3.6.1.4.1.9.1.222,,,objectidentity,,""
cisco7204VXR,1.3.6.1.4.1.9.1.223,,,objectidentity,,""
cisco1538M,1.3.6.1.4.1.9.1.224,,,objectidentity,,""
cisco1548M,1.3.6.1.4.1.9.1.225,,,objectidentity,,""
ciscoFasthub100,1.3.6.1.4.1.9.1.226,,,objectidentity,,""
ciscoPIXFirewall,1.3.6.1.4.1.9.1.227,,,objectidentity,,""
ciscoMGX8850,1.3.6.1.4.1.9.1.228,,,objectidentity,,""
ciscoMGX8830,1.3.6.1.4.1.9.1.229,,,objectidentity,,""
catalyst8510msr,1.3.6.1.4.1.9.1.230,,,objectidentity,,""
catalyst8515msr,1.3.6.1.4.1.9.1.231,,,objectidentity,,""
ciscoIGX8410,1.3.6.1.4.1.9.1.232,,,objectidentity,,""
ciscoIGX8420,1.3.6.1.4.1.9.1.233,,,objectidentity,,""
ciscoIGX8430,1.3.6.1.4.1.9.1.234,,,objectidentity,,""
ciscoIGX8450,1.3.6.1.4.1.9.1.235,,,objectidentity,,""
ciscoBPX8620,1.3.6.1.4.1.9.1.237,,,objectidentity,,""
ciscoBPX8650,1.3.6.1.4.1.9.1.238,,,objectidentity,,""
ciscoBPX8680,1.3.6.1.4.1.9.1.239,,,objectidentity,,""
ciscoCacheEngine,1.3.6.1.4.1.9.1.240,,,objectidentity,,""
ciscoCat6000,1.3.6.1.4.1.9.1.241,,,objectidentity,,""
ciscoBPXSes,1.3.6.1.4.1.9.1.242,,,objectidentity,,""
ciscoIGXSes,1.3.6.1.4.1.9.1.243,,,objectidentity,,""
ciscoLocalDirector,1.3.6.1.4.1.9.1.244,,,objectidentity,,""
cisco805,1.3.6.1.4.1.9.1.245,,,objectidentity,,""
catalyst3508GXL,1.3.6.1.4.1.9.1.246,,,objectidentity,,""
catalyst3512XL,1.3.6.1.4.1.9.1.247,,,objectidentity,,""
catalyst3524XL,1.3.6.1.4.1.9.1.248,,,objectidentity,,""
cisco1407,1.3.6.1.4.1.9.1.249,,,objectidentity,,""
cisco1417,1.3.6.1.4.1.9.1.250,,,objectidentity,,""
cisco6100,1.3.6.1.4.1.9.1.251,,,objectidentity,,""
cisco6130,1.3.6.1.4.1.9.1.252,,,objectidentity,,""
cisco6260,1.3.6.1.4.1.9.1.253,,,objectidentity,,""
ciscoOpticalRegenerator,1.3.6.1.4.1.9.1.254,,,objectidentity,,""
ciscoUBR924,1.3.6.1.4.1.9.1.255,,,objectidentity,,""
ciscoWSX6302Msm,1.3.6.1.4.1.9.1.256,,,objectidentity,,""
catalyst5kRsfc,1.3.6.1.4.1.9.1.257,,,objectidentity,,""
catalyst6kMsfc,1.3.6.1.4.1.9.1.258,,,objectidentity,,""
cisco7120Quadt1,1.3.6.1.4.1.9.1.259,,,objectidentity,,""
cisco7120T3,1.3.6.1.4.1.9.1.260,,,objectidentity,,""
cisco7120E3,1.3.6.1.4.1.9.1.261,,,objectidentity,,""
cisco7120At3,1.3.6.1.4.1.9.1.262,,,objectidentity,,""
cisco7120Ae3,1.3.6.1.4.1.9.1.263,,,objectidentity,,""
cisco7120Smi3,1.3.6.1.4.1.9.1.264,,,objectidentity,,""
cisco7140Dualt3,1.3.6.1.4.1.9.1.265,,,objectidentity,,""
cisco7140Duale3,1.3.6.1.4.1.9.1.266,,,objectidentity,,""
cisco7140Dualat3,1.3.6.1.4.1.9.1.267,,,objectidentity,,""
cisco7140Dualae3,1.3.6.1.4.1.9.1.268,,,objectidentity,,""
cisco7140Dualmm3,1.3.6.1.4.1.9.1.269,,,objectidentity,,""
cisco827QuadV,1.3.6.1.4.1.9.1.270,,,objectidentity,,""
ciscoUBR7246VXR,1.3.6.1.4.1.9.1.271,,,objectidentity,,""
cisco10400,1.3.6.1.4.1.9.1.272,,,objectidentity,,""
cisco12016,1.3.6.1.4.1.9.1.273,,,objectidentity,,""
ciscoAs5400,1.3.6.1.4.1.9.1.274,,,objectidentity,,""
cat2948gL3,1.3.6.1.4.1.9.1.275,,,objectidentity,,""
cisco7140Octt1,1.3.6.1.4.1.9.1.276,,,objectidentity,,""
cisco7140Dualfe,1.3.6.1.4.1.9.1.277,,,objectidentity,,""
cat3548XL,1.3.6.1.4.1.9.1.278,,,objectidentity,,""
ciscoVG200,1.3.6.1.4.1.9.1.279,,,objectidentity,,""
cat6006,1.3.6.1.4.1.9.1.280,,,objectidentity,,""
cat6009,1.3.6.1.4.1.9.1.281,,,objectidentity,,""
cat6506,1.3.6.1.4.1.9.1.282,,,objectidentity,,""
cat6509,1.3.6.1.4.1.9.1.283,,,objectidentity,,""
cisco827,1.3.6.1.4.1.9.1.284,,,objectidentity,,""
ciscoManagementEngine1100,1.3.6.1.4.1.9.1.285,,,objectidentity,,""
ciscoMc3810V3,1.3.6.1.4.1.9.1.286,,,objectidentity,,""
cat3524tXLEn,1.3.6.1.4.1.9.1.287,,,objectidentity,,""
cisco7507z,1.3.6.1.4.1.9.1.288,,,objectidentity,,""
cisco7513z,1.3.6.1.4.1.9.1.289,,,objectidentity,,""
cisco7507mx,1.3.6.1.4.1.9.1.290,,,objectidentity,,""
cisco7513mx,1.3.6.1.4.1.9.1.291,,,objectidentity,,""
ciscoUBR912C,1.3.6.1.4.1.9.1.292,,,objectidentity,,""
ciscoUBR912S,1.3.6.1.4.1.9.1.293,,,objectidentity,,""
ciscoUBR914,1.3.6.1.4.1.9.1.294,,,objectidentity,,""
cisco802J,1.3.6.1.4.1.9.1.295,,,objectidentity,,""
cisco804J,1.3.6.1.4.1.9.1.296,,,objectidentity,,""
cisco6160,1.3.6.1.4.1.9.1.297,,,objectidentity,,""
cat4908gL3,1.3.6.1.4.1.9.1.298,,,objectidentity,,""
cisco6015,1.3.6.1.4.1.9.1.299,,,objectidentity,,""
cat4232L3,1.3.6.1.4.1.9.1.300,,,objectidentity,,""
catalyst6kMsfc2,1.3.6.1.4.1.9.1.301,,,objectidentity,,""
cisco7750Mrp200,1.3.6.1.4.1.9.1.302,,,objectidentity,,""
cisco7750Ssp80,1.3.6.1.4.1.9.1.303,,,objectidentity,,""
ciscoMGX8230,1.3.6.1.4.1.9.1.304,,,objectidentity,,""
ciscoMGX8250,1.3.6.1.4.1.9.1.305,,,objectidentity,,""
ciscoCVA122,1.3.6.1.4.1.9.1.306,,,objectidentity,,""
ciscoCVA124,1.3.6.1.4.1.9.1.307,,,objectidentity,,""
ciscoAs5850,1.3.6.1.4.1.9.1.308,,,objectidentity,,""
cat6509Sp,1.3.6.1.4.1.9.1.310,,,objectidentity,,""
ciscoMGX8240,1.3.6.1.4.1.9.1.311,,,objectidentity,,""
cat4840gL3,1.3.6.1.4.1.9.1.312,,,objectidentity,,""
ciscoAS5350,1.3.6.1.4.1.9.1.313,,,objectidentity,,""
cisco7750,1.3.6.1.4.1.9.1.314,,,objectidentity,,""
ciscoMGX8950,1.3.6.1.4.1.9.1.315,,,objectidentity,,""
ciscoUBR925,1.3.6.1.4.1.9.1.316,,,objectidentity,,""
ciscoUBR10012,1.3.6.1.4.1.9.1.317,,,objectidentity,,""
catalyst4kGateway,1.3.6.1.4.1.9.1.318,,,objectidentity,,""
cisco2650,1.3.6.1.4.1.9.1.319,,,objectidentity,,""
cisco2651,1.3.6.1.4.1.9.1.320,,,objectidentity,,""
cisco826QuadV,1.3.6.1.4.1.9.1.321,,,objectidentity,,""
cisco826,1.3.6.1.4.1.9.1.322,,,objectidentity,,""
